date,hour,buy_volume,sell_volume,currency,imbalance
2025-12-12,16,3423583.0,2703652.0,EUR,0.11749688073005198
2025-12-12,17,3540407.0,2813993.0,EUR,0.11431669394435352
2025-12-12,18,3775306.0,2383032.0,EUR,0.22607950391810258
2025-12-12,19,4349677.0,2356640.0,EUR,0.2971880094543697
2025-12-12,20,4340584.0,2299616.0,EUR,0.3073654407999759
2025-12-12,21,3575087.0,2262133.0,EUR,0.22492796228341574
2025-12-12,22,2478081.0,2109896.0,EUR,0.08024996637951759
2025-12-12,23,2828234.0,2056759.0,EUR,0.1579275548603652
2025-12-13,0,3448711.0,1791467.0,EUR,0.3162571958433473
2025-12-13,1,3461895.0,1347474.0,EUR,0.4396462404943351
2025-12-13,2,3816032.0,912978.0,EUR,0.6138819752971553
2025-12-13,3,4322845.0,893361.0,EUR,0.6574671322413264
2025-12-13,4,4148384.0,907591.0,EUR,0.6409827975810798
2025-12-13,5,3955476.0,918468.0,EUR,0.6231109754235995
2025-12-13,6,3969917.0,1450128.0,EUR,0.4649018596709068
2025-12-13,7,3991219.0,2186272.0,EUR,0.2921812431616655
2025-12-13,8,3841436.0,2278155.0,EUR,0.2554551439793934
2025-12-13,9,3983222.0,2161343.0,EUR,0.2965025188927125
2025-12-13,10,3694389.0,2494871.0,EUR,0.1938063678048749
2025-12-13,11,4196390.0,2797798.0,EUR,0.19996488513033964
2025-12-13,12,3706716.0,2664141.0,EUR,0.16364752811121017
2025-12-13,13,3876463.0,2856038.0,EUR,0.15156700310924573
2025-12-13,14,4196789.0,2847109.0,EUR,0.1916098160421971
2025-12-13,15,3678682.0,2730087.0,EUR,0.1480151648467904
2025-12-13,16,3803001.0,2578399.0,EUR,0.1919017770395211
2025-12-13,17,3915387.0,3161490.0,EUR,0.10652961751348794
2025-12-13,18,3197849.0,3191041.0,EUR,0.0010655998146782931
2025-12-13,19,2871420.0,3048102.0,EUR,-0.029847342403660295
2025-12-13,20,2883475.0,2998546.0,EUR,-0.019563173949905994
2025-12-13,21,3018217.0,2240952.0,EUR,0.14779236035198717
2025-12-13,22,2153612.0,1624393.0,EUR,0.1400789570156736
2025-12-13,23,2664798.0,1373112.0,EUR,0.31988974494230926
2025-12-14,0,3154664.0,1055307.0,EUR,0.49866305492365626
2025-12-14,1,3537077.0,1429815.0,EUR,0.42426169121454627
2025-12-14,2,3523242.0,1436556.0,EUR,0.4207199567401737
2025-12-14,3,4314934.0,1785705.0,EUR,0.4145842755160566
2025-12-14,4,4065974.0,1877130.0,EUR,0.36829979754687114
2025-12-14,5,3941868.0,1813027.0,EUR,0.36991830433048734
2025-12-14,6,2300052.0,1726384.0,EUR,0.1424753802121777
2025-12-14,7,1652110.0,1961398.0,EUR,-0.08559217248169923
2025-12-14,8,1740910.0,3200732.0,EUR,-0.2954123346045707
2025-12-14,9,1871014.0,3076478.0,EUR,-0.2436515309170788
2025-12-14,10,1889702.0,3040416.0,EUR,-0.2334049610982942
2025-12-14,11,1949022.0,2898282.0,EUR,-0.19583257002242896
2025-12-14,12,1904953.0,3267628.0,EUR,-0.26344198379880374
2025-12-14,13,2113318.0,3697203.0,EUR,-0.2725891533650769
2025-12-14,14,1880674.0,3154537.0,EUR,-0.25299098687224825
2025-12-14,15,1755257.0,3154930.0,EUR,-0.28505492764328527
2025-12-14,16,1723409.0,3013171.0,EUR,-0.27229815605352387
2025-12-14,17,1722592.0,3114447.0,EUR,-0.2877493855228374
2025-12-14,18,1985738.0,2691545.0,EUR,-0.15090106799182346
2025-12-14,19,1682283.0,2359688.0,EUR,-0.1675927412641011
2025-12-14,20,1778283.0,1608841.0,EUR,0.05002533122495663
2025-12-14,21,1538417.0,902115.0,EUR,0.26072266210809775
2025-12-14,22,2116740.0,1059168.0,EUR,0.33299831103419875
2025-12-14,23,2938378.0,1144291.0,EUR,0.4394397390530557
2025-12-15,0,3644504.0,1331812.0,EUR,0.46473977938700034
2025-12-15,1,3329481.0,1312538.0,EUR,0.43449692903023446
2025-12-15,2,3236480.0,926709.0,EUR,0.5548081050367879
2025-12-15,3,2839180.0,945286.0,EUR,0.5004388994378599
2025-12-15,4,3176225.0,1616423.0,EUR,0.3254572420090105
2025-12-15,5,2722330.0,1653513.0,EUR,0.2442539643218461
2025-12-15,6,3520619.0,1446885.0,EUR,0.41745995574437383
2025-12-15,7,3573678.0,2374718.0,EUR,0.20156021892288273
2025-12-15,8,3200124.0,2871237.0,EUR,0.05417022641216689
2025-12-15,9,3646746.0,3397554.0,EUR,0.03537498402964099
2025-12-15,10,3455803.0,2669331.0,EUR,0.12840078274205918
2025-12-15,11,3809185.0,3166603.0,EUR,0.09211604481099483
2025-12-15,12,3717996.0,3475067.0,EUR,0.03377267792594059
2025-12-15,13,3714932.0,3750068.0,EUR,-0.004706764902880107
2025-12-15,14,3650579.0,3440110.0,EUR,0.02968244693851331
2025-12-15,15,3621418.0,3251617.0,EUR,0.05380461470078357
2025-12-15,16,3161502.0,3279350.0,EUR,-0.018296958228507656
2025-12-15,17,3653836.0,3120009.0,EUR,0.07880708814565435
2025-12-15,18,3591128.0,3259446.0,EUR,0.04841667282186865
2025-12-15,19,3288733.0,3318953.0,EUR,-0.004573461874550334
2025-12-15,20,3375824.0,3265657.0,EUR,0.016587715902522344
2025-12-15,21,3661610.0,2249839.0,EUR,0.23881978851547225
2025-12-15,22,4023044.0,1384766.0,EUR,0.4878644035200941
2025-12-15,23,4873599.0,647550.0,EUR,0.765429261191828
2025-12-16,0,5533352.0,1310566.0,EUR,0.6170129449242379
2025-12-16,1,5444245.0,1142136.0,EUR,0.6531825292220417
2025-12-16,2,5547484.0,888354.0,EUR,0.7239352513223608
2025-12-16,3,5682877.0,1029130.0,EUR,0.6933465653417823
2025-12-16,4,6006608.0,861351.0,EUR,0.7491682754658262
2025-12-16,5,5683288.0,579021.0,EUR,0.81507747381996
2025-12-16,6,4028988.0,1910852.0,EUR,0.35659815752612867
2025-12-16,7,3610930.0,2140125.0,EUR,0.2557452502193076
2025-12-16,8,3631574.0,2147987.0,EUR,0.256695447976066
2025-12-16,9,4331482.0,2839924.0,EUR,0.2079868299187077
2025-12-16,10,5072995.0,2699722.0,EUR,0.30533377196159334
2025-12-16,11,4490142.0,3263384.0,EUR,0.15821937012915158
2025-12-16,12,4555906.0,2884275.0,EUR,0.22467612011051882
2025-12-16,13,4939321.0,3479652.0,EUR,0.1733785106568224
2025-12-16,14,4668123.0,3537298.0,EUR,0.13781437905501742
2025-12-16,15,5209505.0,2931775.0,EUR,0.2797754161507773
2025-12-16,16,4827699.0,2938223.0,EUR,0.24330349957158984
2025-12-16,17,4825935.0,2969354.0,EUR,0.23816705192071774
2025-12-16,18,4182834.0,2313100.0,EUR,0.2878314342479465
2025-12-16,19,3592414.0,3030329.0,EUR,0.08487193297399583
2025-12-16,20,4074996.0,2694586.0,EUR,0.20391362420899842
2025-12-16,21,4425065.0,2128491.0,EUR,0.35043173507634634
2025-12-16,22,4540928.0,1766764.0,EUR,0.4398065092588541
2025-12-16,23,4817200.0,1942706.0,EUR,0.4252269188358536
2025-12-17,0,5354626.0,2053426.0,EUR,0.44562322186723313
2025-12-17,1,4521514.0,2174249.0,EUR,0.3505597495012891
2025-12-17,2,5383447.0,2297798.0,EUR,0.40171209224546284
2025-12-17,3,5675735.0,2331078.0,EUR,0.4177263787726777
2025-12-17,4,5267052.0,2626068.0,EUR,0.3345931646801265
2025-12-17,5,4626783.0,2392656.0,EUR,0.31827714437008425
2025-12-17,6,4225996.0,2300945.0,EUR,0.29493923723226545
2025-12-17,7,3845428.0,2738397.0,EUR,0.168144050001329
2025-12-17,8,3744299.0,2773380.0,EUR,0.14896698656070664
2025-12-17,9,4374526.0,3184317.0,EUR,0.15745915082506676
2025-12-17,10,4747284.0,3481133.0,EUR,0.15387540519640655
2025-12-17,11,4944718.0,4161829.0,EUR,0.08596990714482668
2025-12-17,12,4127982.0,3346081.0,EUR,0.1046152541127898
2025-12-17,13,4118991.0,3292106.0,EUR,0.11157390059798165
2025-12-17,14,3239202.0,2392164.0,EUR,0.1504143044511758
2025-12-17,15,4615095.0,2439454.0,EUR,0.30840256407603095
2025-12-17,16,4487799.0,2867231.0,EUR,0.22033465533111354
2025-12-17,17,4499659.0,2578574.0,EUR,0.27140742611891977
2025-12-17,18,4613151.0,2754501.0,EUR,0.2522716870992278
2025-12-17,19,4397338.0,2220101.0,EUR,0.3290150464552828
2025-12-17,20,3165008.0,1774819.0,EUR,0.2814246328869412
2025-12-17,21,4046928.0,1987913.0,EUR,0.34118794513393147
